# iteration rmse_test rmse_train
200 0.16301657 0.16073312
1000 0.15357464 0.15147356
2000 0.14300275 0.14193513
3000 0.13831943 0.13714436
4000 0.13374406 0.13315072
5000 0.13342664 0.13225
6000 0.12994169 0.12975255
7000 0.13249552 0.13048561
8000 0.12638008 0.12661744
9000 0.12720952 0.12444498
10000 0.12372738 0.12393071
11000 0.12700047 0.12301317
12000 0.12551335 0.12284358
13000 0.11922514 0.11894395
14000 0.11960544 0.11768647
15000 0.11869451 0.11625702
16000 0.11869729 0.11649721
17000 0.11784615 0.11533681
18000 0.116669 0.11501681
19000 0.11743502 0.11635577
20000 0.11827385 0.11735435
21000 0.11553682 0.11350913
22000 0.11606878 0.11387597
23000 0.11497458 0.11149778
24000 0.11583189 0.11438244
25000 0.11470363 0.11197122
26000 0.11517782 0.11219673
27000 0.11343719 0.11016394
28000 0.11191695 0.1095358
29000 0.11005338 0.10771244
30000 0.11101118 0.10980712
31000 0.10836858 0.10619777
32000 0.10801797 0.10594813
33000 0.10732069 0.10563985
34000 0.1054249 0.10250049
35000 0.10431122 0.10130471
36000 0.10565314 0.10225642
37000 0.10482172 0.10148338
38000 0.10348307 0.098410421
39000 0.10287548 0.099518083
40000 0.10174012 0.097543076
41000 0.10209723 0.096708056
42000 0.11142648 0.10849976
43000 0.1038721 0.10030857
44000 0.10257093 0.097378163
45000 0.10182474 0.096624256
46000 0.10086013 0.096077097
47000 0.10169526 0.095976315
48000 0.1011275 0.095481949
49000 0.10014131 0.094008531
50000 0.10116883 0.094634181
