# iteration rmse_test rmse_train
200 0.16870088 0.1685288
1000 0.16088106 0.15929766
2000 0.15503479 0.15359283
3000 0.14758431 0.1467072
4000 0.14256839 0.14206169
5000 0.14324055 0.14137529
6000 0.13887716 0.13862575
7000 0.14176195 0.14069272
8000 0.13795302 0.13753882
9000 0.14206863 0.14122959
10000 0.13602328 0.13563909
11000 0.13572652 0.13463011
12000 0.13309035 0.132309
13000 0.13301781 0.13192858
14000 0.13129897 0.13041227
15000 0.13067874 0.12944252
16000 0.12977512 0.12861606
17000 0.13767679 0.13542662
18000 0.1290542 0.12811469
19000 0.12901477 0.13064976
20000 0.12466053 0.12345009
21000 0.12309413 0.12104466
22000 0.12385825 0.12204029
23000 0.12454742 0.1227576
24000 0.12085792 0.11969771
25000 0.12242235 0.12060198
26000 0.12035488 0.11819658
27000 0.1325618 0.12897549
28000 0.12193552 0.12097724
29000 0.12121513 0.11850403
30000 0.12619774 0.12470747
31000 0.12002499 0.11838333
32000 0.11867402 0.11588975
33000 0.1229912 0.12184569
34000 0.11702729 0.11476638
35000 0.11895199 0.11848581
36000 0.11749418 0.11532816
37000 0.12178199 0.11887775
38000 0.11933465 0.11860083
39000 0.11847913 0.11628271
40000 0.11556177 0.11391382
41000 0.11679102 0.11480673
42000 0.1163704 0.11416428
43000 0.11626327 0.1144408
44000 0.11581215 0.11358035
45000 0.11540869 0.11205477
46000 0.11621912 0.1135025
47000 0.11742366 0.11435401
48000 0.11411932 0.11229558
49000 0.11671124 0.11449715
50000 0.11434234 0.111884
